# D,S,E,I_1,A,A_d,I_2,Y,R
4.162296885624527931e-03,1.761405700155514296e+03,5.697401333903057719e+01,1.629644307511989246e+04,2.546717738167114021e+03,4.109123037949760146e+03,2.272959310483195623e+03,2.068634768648454155e+03,9.708877381938401377e+05
4.190873936749994755e-03,1.723336586954958648e+03,4.344074525882105320e+01,1.337630524995744418e+04,2.088533841017210761e+03,3.382943908845506485e+03,1.865290005286717587e+03,1.703746003313745859e+03,9.758163994684916688e+05
4.214403568767011166e-03,1.692693922571898156e+03,3.618163006686446437e+01,1.097468703143881066e+04,1.715339425081273021e+03,2.781169202679196133e+03,1.531438764083904061e+03,1.401626476445602293e+03,9.798668593332289020e+05
4.233754356391727924e-03,1.667950167137988274e+03,2.916016618884320977e+01,9.005015942954858474e+03,1.407694989824786262e+03,2.285925244488400494e+03,1.256848061145139582e+03,1.152494390112075735e+03,9.831949068043935113e+05
4.249664954841136932e-03,1.647911432385168837e+03,2.484035825109342710e+01,7.386874707971548560e+03,1.156424507608222257e+03,1.877154905604373198e+03,1.031865346748001912e+03,9.469335537704914714e+02,9.859279909379960736e+05
4.262739326804876328e-03,1.631646342156647961e+03,2.176514122239268900e+01,6.058511754770972402e+03,9.505237106716124345e+02,1.540561890138692206e+03,8.473082977775094378e+02,7.776227740795590080e+02,9.881720558264432475e+05
4.273466416634619236e-03,1.618423856597195709e+03,1.468332504235144853e+01,4.974257859836235184e+03,7.767529144505092518e+02,1.267193234151714705e+03,6.940769675070315543e+02,6.391857693109352567e+02,9.900154217996376101e+05
4.282275214791297913e-03,1.607654635458351777e+03,9.045849231387716571e+00,4.084454334691938129e+03,6.343188686294538456e+02,1.042382799420415040e+03,5.683697762422075357e+02,5.253399852136521986e+02,9.915284294688373338e+05
4.289521835744380951e-03,1.598867201449182858e+03,1.009942707129173556e+01,3.347358538675544878e+03,5.232638957354730564e+02,8.535437314135104998e+02,4.673460562237110594e+02,4.307433117736404711e+02,9.927687735481357668e+05
4.295463091693818569e-03,1.591695917446221301e+03,8.281495953874010496e+00,2.745976734698537257e+03,4.293010195648585068e+02,7.004929059909411535e+02,3.834272023365405175e+02,3.535355312484928163e+02,9.937872848972973879e+05
4.300338448956608772e-03,1.585836582099011594e+03,6.635968451037706828e+00,2.252809486842901606e+03,3.517277361933516886e+02,5.752523398835519401e+02,3.144921234773850074e+02,2.901754671051166952e+02,9.946230659956091549e+05
4.304339410737156868e-03,1.581045794601251146e+03,5.288410475550275436e+00,1.848227910715795815e+03,2.880932308809846063e+02,4.724281542692473863e+02,2.579313836270730462e+02,2.381554745485835269e+02,9.953088253365420969e+05
4.307624883949756622e-03,1.577126486878702735e+03,4.729283513005808182e+00,1.515630774929709560e+03,2.376575286394665909e+02,3.864308042198920816e+02,2.117911025227773507e+02,1.953006983246335437e+02,9.958713290133469272e+05
4.310319316573441029e-03,1.573918496636999635e+03,3.969687952038403189e+00,1.243173883882066548e+03,1.952639446448675926e+02,3.167749122406492006e+02,1.737881518967815850e+02,1.602139586605198360e+02,9.963328926537667867e+05
4.312528646551072598e-03,1.571291692434968809e+03,3.060580403484244982e+00,1.020033815990042854e+03,1.595586153228749424e+02,2.604505278310447807e+02,1.424708051995406777e+02,1.315004733052250003e+02,9.967116291769841919e+05
4.314342048019170761e-03,1.569140148933801811e+03,2.501953605382892576e+00,8.367476122710666004e+02,1.308796878232358836e+02,2.136800617095573500e+02,1.168696514431533870e+02,1.078861107547207610e+02,9.970222904591170372e+05
4.315829835832118988e-03,1.567377415782170601e+03,2.066598666012442909e+00,6.863668408295991412e+02,1.074387311625955874e+02,1.752266663197386265e+02,9.587773389745341035e+01,8.850444348575365439e+01,9.972771372540268349e+05
4.317050334066152573e-03,1.565932849278506410e+03,1.675423814766358932e+00,5.630491726609606076e+02,8.805865262021771400e+01,1.438167214518066999e+02,7.864117442618736220e+01,7.261075358984197692e+01,9.974862109351073159e+05
4.318051505833864212e-03,1.564748837532769585e+03,1.342958912714701025e+00,4.619051906215779582e+02,7.210805809527187193e+01,1.180961045065241990e+02,6.449590519480520356e+01,5.957395959857952050e+01,9.976577246674862690e+05
4.318873048759996891e-03,1.563778323766871154e+03,1.122434680336405588e+00,3.788728710961849515e+02,5.924271330593425233e+01,9.679282488820001618e+01,5.291611131312348704e+01,4.886561555228960430e+01,9.977984047865240136e+05
4.319546744227409363e-03,1.562982628811980931e+03,9.206891430162967849e-01,3.107866845233575646e+02,4.859910935109802210e+01,7.939922569832870636e+01,4.340730505034093056e+01,4.008579996888709474e+01,9.979138142379061319e+05
